Date_Time,   npoints,   u_starr,   taur,   Hcr,   LE_wplr,   Evap,   Fc_wplr,  Fc_wpl_umol,   CO2_conc,  CO2_PPM,   CO2_sig_str,   H2O_conc,   H2O_sig_str,   Temp_amb,  Amb_Press,   wind_speed,   wind_dir_sonic,  obukhov,  zeta,  rou,  sigmaw_ustar,  Xmax,  XR90
TS,   Tot,   m/s,   Kg(m s^2),   W/m^2,   W/m^2,   L/m^2,   mg/(m^2 s),  umol/(m^2 s),   mg/m^3,  PPM,   arb,   g/m^3,   arb,   C,  kPa,   m/s,   deg,   m,   arb,   m,  arb,   m,  m,  
18/01/02 7:30 8:00,  18000.0,   0.304405,   -0.114884,   4.080052,   58.277062,   0.041779,   -0.003986,   -0.090574,   746.147901,   396.078608,   0.959000,   2.681190,   0.947967,   0.861457,   97.677081,   6.988316,   98.630988,   -333.375291,   -0.005999,   0.000137,   3.647261,   58.905698,   117.811396,  
18/01/02 8:00 8:30,  18000.0,   0.272072,   -0.091676,   -1.292216,   54.348286,   0.039040,   -0.001593,   -0.036190,   745.279687,   396.045964,   0.959001,   2.776611,   0.947983,   1.107706,   97.667265,   6.797594,   98.529283,   -982.737761,   -0.002035,   0.000109,   4.544419,   55.031281,   110.062562,  
18/01/02 8:30 9:00,  18000.0,   0.337848,   -0.141309,   4.353056,   59.974904,   0.043003,   -0.005655,   -0.128492,   745.089963,   396.090224,   0.959002,   2.739343,   0.947953,   1.196073,   97.655825,   7.249099,   98.860584,   -433.708741,   -0.004611,   0.000169,   3.094323,   60.764279,   121.528558,  
18/01/02 9:00 9:30,  17999.0,   0.311099,   -0.119759,   4.505934,   55.740702,   0.039963,   -0.005795,   -0.131673,   744.570233,   396.010940,   0.959001,   2.731881,   0.947955,   1.254255,   97.628990,   6.370450,   93.477663,   -342.359757,   -0.005842,   0.000143,   3.257651,   63.141119,   126.282238,  
18/01/02 9:30 10:00,  18000.0,   0.361890,   -0.161720,   -2.220170,   63.162305,   0.045412,   -0.007841,   -0.178168,   743.588976,   396.310910,   0.959018,   2.693162,   0.947584,   1.804412,   97.602892,   6.584153,   94.433238,   -3014.618699,   -0.000663,   0.000193,   2.594853,   65.458615,   130.917230,  
18/01/02 10:00 10:30,  18000.0,   0.400408,   -0.197822,   -3.359312,   53.925195,   0.038800,   0.003825,   0.086906,   743.399415,   396.523827,   0.959001,   2.632044,   0.947924,   1.969937,   97.582403,   6.668523,   82.687604,   19116.162047,   0.000105,   0.000237,   2.513897,   60.874640,   121.749281,  
18/01/02 10:30 11:00,  18000.0,   0.372356,   -0.171040,   4.084630,   73.708718,   0.052919,   -0.004981,   -0.113190,   743.451418,   396.634599,   0.959000,   2.586689,   0.947880,   1.971096,   97.564944,   7.215118,   84.454264,   -543.338913,   -0.003681,   0.000205,   2.818754,   59.598023,   119.196045,  
18/01/02 11:00 11:30,  17999.0,   0.335085,   -0.138523,   0.179674,   60.292048,   0.043320,   -0.001238,   -0.028133,   743.233160,   396.486083,   0.959002,   2.670097,   0.947951,   1.872343,   97.537873,   6.566446,   81.582094,   -908.458146,   -0.002202,   0.000166,   3.107647,   61.037600,   122.075200,  
18/01/02 11:30 12:00,  18000.0,   0.379761,   -0.177709,   1.919667,   77.595307,   0.055746,   0.003682,   0.083659,   742.736826,   396.699502,   0.958518,   2.623728,   0.946820,   2.156754,   97.507973,   7.359372,   81.706894,   -752.566115,   -0.002658,   0.000213,   2.780245,   59.119674,   118.239349,  
18/01/02 12:00 12:30,  18000.0,   0.404815,   -0.201801,   -1.998827,   79.936086,   0.057490,   0.008136,   0.184868,   742.695553,   396.931510,   0.958013,   2.613098,   0.946459,   2.243015,   97.486131,   7.614295,   81.510217,   -2261.229005,   -0.000884,   0.000242,   2.598653,   58.654885,   117.309770,  
18/01/02 12:30 13:00,  18000.0,   0.381565,   -0.179172,   -1.784064,   86.442774,   0.062167,   -0.000397,   -0.009022,   742.132415,   396.883067,   0.958894,   2.644661,   0.947681,   2.320765,   97.456039,   7.382184,   84.283012,   -1539.055341,   -0.001299,   0.000215,   2.798605,   58.539871,   117.079742,  
18/01/02 13:00 13:30,  18000.0,   0.298193,   -0.109443,   3.515693,   57.773071,   0.041471,   -0.004650,   -0.105661,   742.034327,   396.773222,   0.959241,   2.752546,   0.948029,   2.214312,   97.438429,   6.095347,   83.935518,   -338.929961,   -0.005901,   0.000131,   3.833298,   57.741439,   115.482877,  
18/01/02 13:30 14:00,  17999.0,   0.363974,   -0.162808,   0.076294,   72.363786,   0.052030,   -0.002797,   -0.063560,   740.997542,   396.823645,   0.958536,   2.682851,   0.947002,   2.614596,   97.420068,   7.173925,   81.465084,   -997.517803,   -0.002005,   0.000196,   3.113851,   56.260869,   112.521738,  
18/01/02 14:00 14:30,  18000.0,   0.401116,   -0.197852,   6.838132,   83.587528,   0.059977,   -0.001206,   -0.027414,   741.574777,   396.883477,   0.958830,   2.792225,   0.947435,   2.336167,   97.393599,   7.865191,   85.290961,   -483.810379,   -0.004134,   0.000238,   2.540874,   60.253746,   120.507491,  
18/01/02 14:30 15:00,  18000.0,   0.399682,   -0.196267,   7.721056,   81.817454,   0.058713,   -0.002500,   -0.056802,   740.728332,   396.783315,   0.959000,   2.697774,   0.947857,   2.522962,   97.364017,   7.351926,   81.545448,   -448.140377,   -0.004463,   0.000236,   2.778320,   56.292815,   112.585630,  
