year month day id wd wsd tmp
2003 12 09 89512 130 26 -.6
2003 12 09 89512 140 10 .6
2003 12 10 89512 170 18 -1.1
2003 12 10 89512 170 14 .3
2003 12 10 89512 350 4 .9
2003 12 10 89512 150 4 2.1
2003 12 11 89512 180 10 .9
2003 12 11 89512 150 20 .7
2003 12 11 89512 100 20 2
2003 12 11 89512 350 4 .2
2003 12 12 89512 100 2 -5.8
2003 12 12 89512 20 2 -6.7
2003 12 12 89512 40 4 -1.3
2003 12 12 89512 50 8 -2.4
2003 12 13 89512 60 4 -5.7
2003 12 13 89512 30 4 -6.1
2003 12 13 89512 40 2 -.5
2003 12 13 89512 130 8 2.6
2003 12 14 89512 130 22 1.3
2003 12 14 89512 130 28 1.6
2003 12 14 89512 120 24 4
2003 12 14 89512 120 18 2.9
2003 12 15 89512 140 24 1.6
2003 12 15 89512 140 26 3
2003 12 15 89512 120 22 3.6
2003 12 15 89512 130 20 2.9
2003 12 16 89512 140 18 1
2003 12 16 89512 130 32 2.4
2003 12 16 89512 110 20 2.5
2003 12 16 89512 130 16 2.7
2003 12 17 89512 130 22 2
2003 12 17 89512 100 16 2.9
2003 12 17 89512 110 20 2.8
2003 12 17 89512 90 8 .7
2003 12 18 89512 130 8 -.4
2003 12 18 89512 140 6 1.5
2003 12 18 89512 150 6 4.2
2003 12 18 89512 260 10 2.9
2003 12 19 89512 190 22 1.2
2003 12 19 89512 170 18 2.5
2003 12 19 89512 350 6 3.6
2003 12 19 89512 140 4 -.9
2003 12 20 89512 120 4 -4.3
2003 12 20 89512 160 22 3.3
2003 12 20 89512 20 6 3.9
2003 12 20 89512 150 6 3.2
2003 12 21 89512 140 18 .5
2003 12 21 89512 140 26 1.7
2003 12 21 89512 110 12 3.1
2003 12 21 89512 130 8 2
2003 12 22 89512 150 20 .7
2003 12 22 89512 150 18 2.2
2003 12 22 89512 90 8 3.2
2003 12 22 89512 250 4 2.5
2003 12 23 89512 340 8 -2.7
2003 12 23 89512 10 4 -2.4
2003 12 23 89512 230 4 .3
2003 12 23 89512 40 4 -.9
2003 12 24 89512 60 2 -2.6
2003 12 24 89512 80 4 -1
2003 12 24 89512 50 6 -.6
2003 12 24 89512 10 6 -1
2003 12 25 89512 10 2 -1.7
2003 12 25 89512 60 2 -2.2
2003 12 25 89512 30 6 .4
2003 12 25 89512 10 4 -1.4
2003 12 26 89512 240 2 -2.9
2003 12 26 89512 20 4 -3.4
2003 12 26 89512 20 6 -.8
2003 12 26 89512 150 8 2.4
2003 12 27 89512 140 24 .1
2003 12 27 89512 130 30 -.1
2003 12 27 89512 110 36 -.9
2003 12 27 89512 100 28 -1.9
2003 12 28 89512 120 36 -2.6
2003 12 28 89512 130 36 -1.2
2003 12 28 89512 120 36 .1
2003 12 28 89512 130 28 0
2003 12 29 89512 120 34 -.7
2003 12 29 89512 130 40 .7
2003 12 29 89512 120 32 2.6
2003 12 29 89512 130 20 3.8
2003 12 30 89512 160 26 2.9
2003 12 30 89512 140 24 4.5
2003 12 30 89512 140 8 5.4
2003 12 30 89512 130 16 4.3
2003 12 31 89512 130 10 2.3
2003 12 31 89512 110 2 2.2
2003 12 31 89512 160 8 6
2003 12 31 89512 330 2 5.6
2004 12 01 89512 120 24 -1.2
2004 12 01 89512 130 26 -.6
2004 12 01 89512 100 24 1.2
2004 12 01 89512 120 12 .2
2004 12 02 89512 140 18 -.9
2004 12 02 89512 130 32 .2
2004 12 02 89512 100 24 1.6
2004 12 02 89512 120 12 1.4
2004 12 03 89512 130 16 -.8
2004 12 03 89512 130 20 -.5
2004 12 03 89512 100 10 1.3
2004 12 03 89512 130 8 2.4
2004 12 04 89512 130 18 -1.1
2004 12 04 89512 120 20 -.8
2004 12 04 89512 100 14 .9
2004 12 04 89512 50 2 .6
2004 12 05 89512 170 20 -1.9
2004 12 05 89512 150 20 -1.2
2004 12 05 89512 30 6 -.4
2004 12 05 89512 10 10 -.9
2004 12 06 89512 80 8 -4
2004 12 06 89512 120 22 -3.2
2004 12 06 89512 110 26 -2.5
2004 12 06 89512 110 20 -2.6
2004 12 07 89512 120 22 -3.3
2004 12 07 89512 110 16 -1.8
2004 12 07 89512 100 24 -.2
2004 12 07 89512 110 8 -1
2004 12 08 89512 170 8 -3
2004 12 08 89512 120 12 -.3
2004 12 08 89512 70 12 1
2004 12 08 89512 60 8 -.3
2004 12 09 89512 130 14 -1.5
2004 12 09 89512 100 16 .8
